file_path,Label
Data/train\171\03_02_0171_(01_05_17_15_53_50)_c.mp4,يبني
Data/train\176\03_01_0176_(21_10_17_15_42_49)_c.mp4,يشوي
Data/train\190\03_01_0190_(21_10_17_16_11_48)_c.mp4,يستحم
Data/train\179\03_02_0179_(16_11_17_01_11_53)_c.mp4,يسقي
Data/train\178\03_01_0178_(13_09_17_14_08_57)_c.mp4,يزرع
Data/train\172\03_01_0172_(13_09_17_13_54_54)_c.mp4,يكسر
Data/train\180\03_02_0180_(16_11_17_01_13_33)_c.mp4,يحصد
Data/train\182\03_02_0182_(16_11_17_01_17_43)_c.mp4,يساعد
Data/train\190\03_03_0190_(01_05_17_16_57_45)_c.mp4,يستحم
Data/train\181\03_01_0181_(21_10_17_15_53_45)_c.mp4,يفكر
Data/train\186\03_02_0186_(25_05_17_17_52_05)_c.mp4,ينادي
Data/train\176\03_01_0176_(21_10_17_15_42_56)_c.mp4,يشوي
Data/train\174\03_02_0174_(16_11_17_01_01_31)_c.mp4,يحب
Data/train\179\03_02_0179_(16_11_17_01_12_21)_c.mp4,يسقي
Data/train\173\03_01_0173_(21_10_17_15_34_33)_c.mp4,يمشي
Data/train\188\03_01_0188_(13_09_17_14_39_47)_c.mp4,يصبغ
Data/train\175\03_01_0175_(21_10_17_15_40_59)_c.mp4,يكره
Data/train\171\03_01_0171_(21_10_17_15_31_02)_c.mp4,يبني
Data/train\190\03_03_0190_(18_12_17_15_35_16)_c.mp4,يستحم
Data/train\188\03_01_0188_(21_10_17_16_09_47)_c.mp4,يصبغ
Data/train\189\03_03_0189_(01_05_17_16_55_11)_c.mp4,يقف
Data/train\188\03_01_0188_(21_10_17_16_08_50)_c.mp4,يصبغ
Data/train\179\03_02_0179_(16_11_17_01_11_56)_c.mp4,يسقي
Data/train\181\03_03_0181_(25_04_17_17_52_23)_c.mp4,يفكر
Data/train\188\03_01_0188_(21_10_17_16_09_15)_c.mp4,يصبغ
Data/train\182\03_03_0182_(18_12_17_15_19_20)_c.mp4,يساعد
Data/train\187\03_01_0187_(13_09_17_14_38_22)_c.mp4,يتنامى
Data/train\182\03_03_0182_(25_04_17_17_57_12)_c.mp4,يساعد
Data/train\177\03_01_0177_(13_09_17_14_07_12)_c.mp4,يحرث
Data/train\190\03_03_0190_(18_12_17_15_35_30)_c.mp4,يستحم
Data/train\179\03_02_0179_(01_05_17_16_17_08)_c.mp4,يسقي
Data/train\183\03_03_0183_(25_04_17_17_59_43)_c.mp4,يدخن
Data/train\177\03_03_0177_(19_04_17_16_37_40)_c.mp4,يحرث
Data/train\190\03_01_0190_(21_10_17_16_12_05)_c.mp4,يستحم
Data/train\173\03_02_0173_(16_11_17_00_59_18)_c.mp4,يمشي
Data/train\188\03_02_0188_(16_11_17_01_30_36)_c.mp4,يصبغ
Data/train\182\03_03_0182_(25_04_17_17_57_06)_c.mp4,يساعد
Data/train\175\03_01_0175_(21_10_17_15_40_51)_c.mp4,يكره
Data/train\183\03_01_0183_(13_09_17_14_21_51)_c.mp4,يدخن
Data/train\184\03_01_0184_(13_09_17_14_25_41)_c.mp4,يدعم
Data/train\180\03_01_0180_(21_10_17_15_52_31)_c.mp4,يحصد
Data/train\187\03_02_0187_(16_11_17_01_29_58)_c.mp4,يتنامى
Data/train\189\03_02_0189_(25_05_17_18_00_15)_c.mp4,يقف
Data/train\176\03_01_0176_(21_10_17_15_42_06)_c.mp4,يشوي
Data/train\178\03_02_0178_(16_11_17_01_10_30)_c.mp4,يزرع
Data/train\180\03_03_0180_(19_04_17_16_47_37)_c.mp4,يحصد
Data/train\190\03_02_0190_(16_11_17_01_33_49)_c.mp4,يستحم
Data/train\181\03_01_0181_(13_09_17_14_16_19)_c.mp4,يفكر
Data/train\187\03_03_0187_(18_12_17_15_29_08)_c.mp4,يتنامى
Data/train\171\03_03_0171_(21_03_17_22_04_15)_c.mp4,يبني
Data/train\190\03_01_0190_(21_10_17_16_12_25)_c.mp4,يستحم
Data/train\179\03_03_0179_(19_04_17_16_44_40)_c.mp4,يسقي
Data/train\186\03_01_0186_(21_10_17_16_01_59)_c.mp4,ينادي
Data/train\172\03_03_0172_(19_04_17_16_28_59)_c.mp4,يكسر
Data/train\180\03_03_0180_(19_04_17_16_47_21)_c.mp4,يحصد
Data/train\173\03_03_0173_(18_04_17_17_37_34)_c.mp4,يمشي
Data/train\188\03_02_0188_(25_05_17_17_57_15)_c.mp4,يصبغ
Data/train\175\03_01_0175_(13_09_17_14_03_56)_c.mp4,يكره
Data/train\180\03_01_0180_(21_10_17_15_52_18)_c.mp4,يحصد
Data/train\172\03_01_0172_(13_09_17_13_55_27)_c.mp4,يكسر
Data/train\187\03_01_0187_(21_10_17_16_07_18)_c.mp4,يتنامى
Data/train\179\03_03_0179_(19_04_17_16_43_43)_c.mp4,يسقي
Data/train\179\03_01_0179_(13_09_17_14_11_33)_c.mp4,يسقي
Data/train\180\03_03_0180_(18_04_17_18_01_52)_c.mp4,يحصد
Data/train\188\03_01_0188_(21_10_17_16_08_40)_c.mp4,يصبغ
Data/train\180\03_01_0180_(21_10_17_15_52_28)_c.mp4,يحصد
Data/train\174\03_01_0174_(13_09_17_14_01_53)_c.mp4,يحب
Data/train\174\03_03_0174_(19_04_17_16_33_05)_c.mp4,يحب
Data/train\186\03_03_0186_(25_04_17_18_08_31)_c.mp4,ينادي
Data/train\183\03_02_0183_(16_11_17_01_18_50)_c.mp4,يدخن
Data/train\172\03_02_0172_(16_11_17_00_56_55)_c.mp4,يكسر
Data/train\182\03_03_0182_(25_04_17_17_57_18)_c.mp4,يساعد
Data/train\185\03_01_0185_(13_09_17_14_27_47)_c.mp4,يختار
Data/train\182\03_01_0182_(13_09_17_14_17_49)_c.mp4,يساعد
Data/train\172\03_02_0172_(01_05_17_15_57_49)_c.mp4,يكسر
Data/train\190\03_01_0190_(21_10_17_16_12_45)_c.mp4,يستحم
Data/train\173\03_01_0173_(13_09_17_13_58_35)_c.mp4,يمشي
Data/train\182\03_03_0182_(25_04_17_17_57_30)_c.mp4,يساعد
Data/train\187\03_03_0187_(18_12_17_15_28_35)_c.mp4,يتنامى
Data/train\188\03_02_0188_(16_11_17_01_31_14)_c.mp4,يصبغ
Data/train\190\03_03_0190_(18_12_17_15_36_00)_c.mp4,يستحم
Data/train\184\03_03_0184_(18_12_17_15_23_12)_c.mp4,يدعم
Data/train\187\03_03_0187_(25_04_17_18_11_48)_c.mp4,يتنامى
Data/train\190\03_02_0190_(16_11_17_01_33_46)_c.mp4,يستحم
Data/train\182\03_02_0182_(25_05_17_17_41_46)_c.mp4,يساعد
Data/train\183\03_03_0183_(18_12_17_15_20_55)_c.mp4,يدخن
Data/train\175\03_02_0175_(01_05_17_16_06_18)_c.mp4,يكره
Data/train\173\03_01_0173_(21_10_17_15_37_51)_c.mp4,يمشي
Data/train\177\03_03_0177_(18_04_17_17_50_47)_c.mp4,يحرث
Data/train\181\03_01_0181_(21_10_17_15_53_50)_c.mp4,يفكر
Data/train\184\03_03_0184_(18_12_17_15_22_14)_c.mp4,يدعم
Data/train\173\03_02_0173_(16_11_17_00_58_52)_c.mp4,يمشي
Data/train\178\03_01_0178_(21_10_17_15_46_34)_c.mp4,يزرع
Data/train\173\03_01_0173_(21_10_17_15_34_18)_c.mp4,يمشي
Data/train\189\03_01_0189_(13_09_17_14_42_42)_c.mp4,يقف
Data/train\190\03_03_0190_(18_12_17_15_36_26)_c.mp4,يستحم
Data/train\176\03_03_0176_(19_04_17_16_34_19)_c.mp4,يشوي
Data/train\182\03_03_0182_(18_12_17_15_18_21)_c.mp4,يساعد
Data/train\181\03_01_0181_(21_10_17_15_53_32)_c.mp4,يفكر
Data/train\182\03_01_0182_(13_09_17_14_17_37)_c.mp4,يساعد
Data/train\171\03_03_0171_(21_03_17_22_03_16)_c.mp4,يبني
Data/train\185\03_01_0185_(21_10_17_15_59_46)_c.mp4,يختار
Data/train\171\03_01_0171_(21_10_17_15_31_13)_c.mp4,يبني
Data/train\180\03_01_0180_(13_09_17_14_13_40)_c.mp4,يحصد
Data/train\187\03_01_0187_(21_10_17_16_07_31)_c.mp4,يتنامى
Data/train\174\03_02_0174_(16_11_17_01_01_29)_c.mp4,يحب
Data/train\181\03_03_0181_(18_12_17_15_16_51)_c.mp4,يفكر
Data/train\187\03_02_0187_(16_11_17_01_29_05)_c.mp4,يتنامى
Data/train\183\03_03_0183_(18_12_17_15_20_52)_c.mp4,يدخن
Data/train\188\03_02_0188_(25_05_17_17_58_01)_c.mp4,يصبغ
